"id" "sex" "gpa" "Alcoholuse" "alcatt" "dadjob" "momjob" "dadclose" "momclose" "larceny" "vandalism"
"1" 1 1 5 2 3 1 2 1 1 1 3
"2" 2 1 0 4 2 1 2 3 4 0 0
"3" 3 1 3 2 3 1 2 2 2 0 2
"4" 4 1 2 2 1 1 2 1 2 3 2
"5" 5 2 3 6 2 1 1 2 1 1 2
"6" 6 2 3 3 0 1 2 1 2 0 0
"7" 7 1 1 2 0 1 2 3 1 0 5
"8" 8 1 5 6 3 1 2 6 2 0 1
"9" 9 2 1 5 0 1 1 3 3 1 4
"10" 10 2 3 2 1 1 1 1 2 1 0
"11" 11 2 3 6 2 2 2 1 2 0 1
"12" 12 2 2 3 3 1 2 4 2 1 1
"13" 13 2 3 4 4 1 1 1 1 0 0
"14" 14 2 2 7 3 1 2 2 2 0 2
"15" 15 1 1 1 2 1 1 1 1 0 1
"16" 16 1 3 4 0 1 2 2 2 0 0
"17" 17 1 5 6 4 1 2 0 0 1 5
"18" 18 2 0 6 1 1 1 3 2 0 3
"19" 19 1 0 3 2 1 2 3 1 1 0
"20" 20 2 2 5 3 1 1 1 2 1 4
"21" 21 2 3 3 3 1 2 2 1 2 3
"22" 22 1 2 6 2 2 2 2 1 2 3
"23" 23 2 1 4 0 1 2 5 1 0 1
"24" 24 1 3 5 6 1 2 5 6 0 1
"25" 25 1 0 6 1 1 2 0 0 0 3
"26" 26 2 4 4 3 1 2 1 2 1 0
"27" 27 2 3 6 2 1 2 1 1 0 2
"28" 28 2 2 9 1 1 2 2 3 1 2
"29" 29 1 0 5 1 1 2 1 1 1 4
"30" 30 2 1 5 0 2 2 1 0 0 0
"31" 31 2 0 3 0 1 1 1 2 1 3
"32" 32 2 2 7 1 1 2 2 3 0 4
"33" 33 1 3 3 3 1 2 1 0 1 3
"34" 34 2 0 2 2 1 2 1 2 0 3
"35" 35 2 2 3 2 1 1 5 2 0 0
"36" 36 1 4 4 3 1 1 3 1 0 0
"37" 37 2 1 5 2 1 2 1 0 2 2
"38" 38 2 3 3 1 1 1 2 3 2 0
"39" 39 2 1 6 1 1 1 5 1 0 1
"40" 40 1 2 3 2 1 2 1 1 1 1
"41" 41 2 2 6 3 1 2 1 4 0 1
"42" 42 2 2 6 3 1 2 1 3 2 2
"43" 43 1 0 5 2 1 1 5 2 2 3
"44" 44 2 2 3 2 1 2 2 3 3 3
"45" 45 2 0 2 0 1 1 1 4 0 1
"46" 46 1 2 6 1 1 1 1 1 0 4
"47" 47 1 2 4 2 1 1 1 0 2 1
"48" 48 2 1 7 1 2 2 5 1 1 1
"49" 49 2 2 2 1 1 1 3 5 1 0
"50" 50 2 2 3 3 1 2 3 2 0 1
"51" 51 2 5 4 2 1 1 0 2 1 2
"52" 52 1 1 3 5 1 1 0 2 2 3
"53" 53 2 2 1 0 1 2 4 2 1 0
"54" 54 2 2 8 1 1 2 3 2 0 0
"55" 55 2 0 6 0 1 2 0 1 0 1
"56" 56 1 1 2 1 2 2 1 2 0 4
"57" 57 1 2 3 1 1 2 6 2 2 3
"58" 58 2 2 2 1 2 2 0 2 3 0
"59" 59 2 5 2 2 1 1 3 0 3 3
"60" 60 2 1 4 0 1 1 1 1 1 0
"61" 61 2 0 5 0 1 2 3 3 0 0
"62" 62 2 1 1 1 1 1 2 2 1 0
"63" 63 2 2 4 0 1 1 2 1 1 3
"64" 64 1 0 4 1 2 1 2 2 1 2
"65" 65 2 2 3 3 1 2 2 3 2 2
"66" 66 2 3 8 0 2 2 3 4 1 3
"67" 67 1 3 5 1 1 1 2 2 2 1
"68" 68 2 1 2 3 2 2 2 1 1 5
"69" 69 1 2 5 0 1 2 3 5 0 3
"70" 70 2 1 3 1 1 2 3 1 4 2
"71" 71 2 1 4 2 1 2 4 2 1 1
"72" 72 1 3 7 0 2 1 1 3 1 2
"73" 73 2 1 5 3 1 2 5 3 0 1
"74" 74 2 2 2 3 1 2 0 1 1 2
"75" 75 2 1 2 2 2 2 1 2 1 3
"76" 76 2 3 4 1 1 1 2 2 1 3
"77" 77 2 1 4 1 1 1 3 1 2 4
"78" 78 2 2 7 3 1 2 2 7 0 1
"79" 79 1 1 3 0 2 2 2 1 4 0
"80" 80 1 2 2 1 1 2 0 6 0 1
"81" 81 2 2 1 0 1 2 0 2 0 2
"82" 82 2 5 3 2 1 2 0 4 1 2
"83" 83 2 1 7 0 1 2 0 0 2 0
"84" 84 2 1 2 0 1 1 1 1 2 2
"85" 85 2 4 2 0 1 2 1 3 1 5
"86" 86 2 1 2 0 1 1 0 2 1 1
"87" 87 1 2 4 3 1 2 0 4 3 1
"88" 88 1 3 1 1 1 2 2 2 1 0
"89" 89 1 2 4 2 1 2 1 4 1 3
"90" 90 2 2 3 3 1 1 0 4 0 1
"91" 91 2 2 0 0 1 1 3 3 1 0
"92" 92 1 2 4 3 1 2 2 3 1 2
"93" 93 1 0 3 5 1 2 1 1 0 3
"94" 94 1 2 4 3 1 2 2 2 0 1
"95" 95 1 2 2 2 1 1 2 2 0 0
"96" 96 2 0 3 0 1 1 3 3 0 0
"97" 97 2 0 4 1 1 2 2 1 0 1
"98" 98 1 2 6 2 1 2 3 1 0 1
"99" 99 2 1 5 4 1 2 2 2 0 1
"100" 100 1 2 11 1 1 2 2 3 1 5
"101" 101 2 0 3 1 1 2 1 0 0 2
"102" 102 2 1 1 1 1 2 1 1 0 2
"103" 103 1 3 4 5 1 2 1 2 3 1
"104" 104 2 5 3 1 1 2 2 2 2 0
"105" 105 1 3 4 2 2 2 3 2 2 1
"106" 106 2 0 1 3 1 2 6 0 1 0
"107" 107 2 1 5 1 1 2 6 3 3 2
"108" 108 1 3 4 3 1 1 0 5 0 6
"109" 109 1 4 7 0 1 2 1 0 1 2
"110" 110 2 2 3 0 1 2 5 2 2 3
"111" 111 1 2 3 2 1 1 0 4 2 1
"112" 112 1 3 3 1 1 2 0 0 0 3
"113" 113 2 3 3 5 1 2 3 2 1 2
"114" 114 1 3 5 0 1 2 1 1 1 3
"115" 115 2 1 4 3 1 2 1 1 0 5
"116" 116 2 4 2 3 1 2 0 1 0 2
"117" 117 1 1 2 1 1 2 2 2 1 1
"118" 118 2 1 6 1 1 2 0 1 1 2
"119" 119 1 3 4 1 1 1 7 1 0 3
"120" 120 2 4 2 3 1 2 2 3 0 1
"121" 121 2 5 2 1 1 2 4 1 1 0
"122" 122 2 4 3 0 1 2 3 1 1 1
