"id","sex","gpa","Alcoholuse","alcatt","dadjob","momjob","dadclose","momclose","larceny","vandalism"
1,1,2,4,2,1,2,4,1,2,2
2,2,3,1,1,1,1,3,4,4,4
3,2,2,4,2,1,2,2,2,2,2
4,2,2,4,3,1,1,4,2,2,2
5,2,1,6,4,1,2,2,2,1,1
6,2,2,2,1,1,2,2,3,3,3
7,1,3,4,3,1,2,3,3,2,3
8,1,4,3,2,1,2,3,3,3,3
9,2,3,5,4,1,1,2,3,2,2
10,2,2,5,4,2,2,3,2,2,2
11,2,4,5,4,1,2,3,2,2,2
12,2,2,3,2,1,1,2,4,3,3
13,1,3,5,3,1,1,3,1,2,1
14,2,3,3,1,1,2,1,2,2,2
15,1,1,4,3,1,2,3,3,3,3
16,2,2,3,1,1,1,4,1,2,2
17,1,2,1,1,1,1,4,4,4,4
18,1,3,4,3,1,2,2,3,3,2
19,1,3,4,3,1,1,3,3,2,2
20,1,2,3,2,2,1,2,3,3,3
21,1,2,3,3,1,2,4,3,3,3
22,1,4,5,3,1,2,2,2,2,2
23,1,2,4,3,1,2,1,3,2,2
24,1,2,3,1,1,1,1,2,2,2
25,1,4,4,4,1,2,4,3,3,3
26,2,3,4,2,1,2,2,1,2,2
27,2,4,3,3,1,2,4,3,3,3
28,2,3,3,3,2,2,4,3,3,3
29,2,3,4,3,1,2,3,3,3,3
30,1,3,1,1,1,1,4,4,4,4
31,2,1,3,3,1,2,2,4,3,4
32,1,2,3,2,1,2,4,3,3,3
33,1,3,3,2,1,2,4,1,2,2
34,2,3,4,4,1,2,3,3,2,2
35,1,2,3,1,1,2,1,1,2,2
36,2,2,3,3,1,1,4,3,3,3
37,1,2,5,3,1,2,1,3,2,2
38,1,3,5,4,1,2,3,1,1,1
39,2,2,5,3,1,1,1,1,1,1
40,2,2,5,4,2,2,3,2,2,2
41,2,4,4,3,1,2,3,3,2,3
42,2,3,2,1,1,2,2,3,3,3
43,1,2,3,3,1,2,3,4,3,4
44,2,2,3,2,1,1,3,3,3,3
